timestamp,open,high,low,close,volume
2024-01-16 15:30:00,166.2550,166.3150,166.2400,166.2870,46326
2024-01-16 15:25:00,166.2200,166.3100,166.2050,166.2500,38731
2024-01-16 15:20:00,166.2000,166.2400,166.1300,166.2000,36987
2024-01-16 15:15:00,166.1900,166.3000,166.1800,166.1900,44483
2024-01-16 15:10:00,166.1900,166.2500,166.1750,166.1800,29634
2024-01-16 15:05:00,166.1300,166.2100,166.1000,166.1800,21277
2024-01-16 15:00:00,166.0300,166.1800,166.0200,166.1300,27527
2024-01-16 14:55:00,166.1100,166.1200,166.0000,166.0290,30515
2024-01-16 14:50:00,165.9800,166.1100,165.9600,166.0600,36931
2024-01-16 14:45:00,165.8200,166.0200,165.8200,165.9600,24174
2024-01-16 14:40:00,165.7600,165.8200,165.7400,165.7900,24099
2024-01-16 14:35:00,165.8850,165.8850,165.7700,165.7800,18689
2024-01-16 14:30:00,165.7900,165.9000,165.6800,165.8900,59705
2024-01-16 14:25:00,165.7850,165.8900,165.7400,165.7700,23127
2024-01-16 14:20:00,165.6800,165.7600,165.6500,165.7550,14639
2024-01-16 14:15:00,165.6500,165.7500,165.6300,165.6600,23716
2024-01-16 14:10:00,165.6400,165.8300,165.6000,165.6600,22920
2024-01-16 14:05:00,165.6200,165.7200,165.5200,165.6200,48090
2024-01-16 14:00:00,165.8350,165.9500,165.6100,165.6200,36357
2024-01-16 13:55:00,165.6900,165.9260,165.6700,165.8500,26393
2024-01-16 13:50:00,165.9200,165.9200,165.6000,165.6800,47618
2024-01-16 13:45:00,166.0200,166.0400,165.9200,165.9300,51122
2024-01-16 13:40:00,166.1900,166.2100,166.0200,166.0400,20291
2024-01-16 13:35:00,166.4150,166.4150,166.1900,166.2090,31163
2024-01-16 13:30:00,166.5200,166.5390,166.3930,166.4400,27954
2024-01-16 13:25:00,166.4600,166.4900,166.4000,166.4900,17591
2024-01-16 13:20:00,166.5100,166.5100,166.3550,166.4500,21579
2024-01-16 13:15:00,166.4200,166.5500,166.3900,166.5200,32631
2024-01-16 13:10:00,166.2650,166.4300,166.2600,166.4300,18040
2024-01-16 13:05:00,166.1300,166.2700,166.1200,166.2400,19741
2024-01-16 13:00:00,166.0500,166.1800,166.0300,166.1300,19959
2024-01-16 12:55:00,166.1700,166.1800,166.0400,166.0700,18945
2024-01-16 12:50:00,166.1600,166.2500,166.1400,166.1800,20202
2024-01-16 12:45:00,166.2800,166.3450,166.1400,166.1400,23476
2024-01-16 12:40:00,166.4200,166.4400,166.2900,166.3000,20058
2024-01-16 12:35:00,166.2400,166.4300,166.2100,166.3900,23692
2024-01-16 12:30:00,166.4800,166.4800,166.1700,166.2300,36829
2024-01-16 12:25:00,166.3900,166.5300,166.3600,166.4700,32195
2024-01-16 12:20:00,166.3400,166.4900,166.3400,166.3900,23023
2024-01-16 12:15:00,166.4800,166.5200,166.3350,166.3350,36848
2024-01-16 12:10:00,166.6200,166.6770,166.4800,166.5000,33151
2024-01-16 12:05:00,166.5500,166.6080,166.4400,166.6050,42209
2024-01-16 12:00:00,166.7000,166.7600,166.5200,166.5300,26613
2024-01-16 11:55:00,166.7200,166.7500,166.5950,166.7290,21798
2024-01-16 11:50:00,166.7840,166.9200,166.7100,166.7100,39718
2024-01-16 11:45:00,166.7400,166.8700,166.6900,166.7950,25880
2024-01-16 11:40:00,166.7400,166.9000,166.6800,166.7620,31333
2024-01-16 11:35:00,166.6650,166.8100,166.5900,166.7320,35035
2024-01-16 11:30:00,166.5300,166.6700,166.5000,166.6700,27199
2024-01-16 11:25:00,166.6700,166.7500,166.5000,166.5150,36708
2024-01-16 11:20:00,166.4200,166.7000,166.4150,166.6700,25041
2024-01-16 11:15:00,166.1900,166.4400,166.1300,166.4000,32180
2024-01-16 11:10:00,166.2050,166.3400,165.9300,166.1900,75608
